2026-08-14 18:39:35,455 | INFO | __main__ | ============================================================
2026-08-14 18:39:35,456 | INFO | __main__ | STOCK MARKET DATA PIPELINE
2026-08-14 18:39:35,456 | INFO | __main__ | ============================================================
2026-08-14 18:39:35,460 | INFO | __main__ | Stocks configured: 100
2026-08-14 18:39:35,461 | INFO | __main__ | Processing AAPL...
2026-08-14 18:39:35,461 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for AAPL...
2026-08-14 18:39:38,808 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\AAPL_stock.csv
2026-08-14 18:39:38,913 | INFO | __main__ | Processing MSFT...
2026-08-14 18:39:38,914 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for MSFT...
2026-08-14 18:39:39,984 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\MSFT_stock.csv
2026-08-14 18:39:40,043 | INFO | __main__ | Processing NVDA...
2026-08-14 18:39:40,043 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for NVDA...
2026-08-14 18:39:40,789 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\NVDA_stock.csv
2026-08-14 18:39:40,832 | INFO | __main__ | Processing GOOGL...
2026-08-14 18:39:40,832 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for GOOGL...
2026-08-14 18:39:42,106 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\GOOGL_stock.csv
2026-08-14 18:39:42,155 | INFO | __main__ | Processing GOOG...
2026-08-14 18:39:42,155 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for GOOG...
2026-08-14 18:39:43,109 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\GOOG_stock.csv
2026-08-14 18:39:43,205 | INFO | __main__ | Processing AMZN...
2026-08-14 18:39:43,205 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for AMZN...
2026-08-14 18:39:43,999 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\AMZN_stock.csv
2026-08-14 18:39:44,052 | INFO | __main__ | Processing META...
2026-08-14 18:39:44,052 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for META...
2026-08-14 18:39:45,204 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\META_stock.csv
2026-08-14 18:39:45,265 | INFO | __main__ | Processing AVGO...
2026-08-14 18:39:45,266 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for AVGO...
2026-08-14 18:39:46,413 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\AVGO_stock.csv
2026-08-14 18:39:46,469 | INFO | __main__ | Processing ORCL...
2026-08-14 18:39:46,470 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for ORCL...
